policy,model,field,label,origins,participants,participant_macro_mae_bpm,inferential_status
tagged_events,pk_ssm,protocol,AEROBIC,582,28,9.331318084020014,eligible
tagged_events,pk_ssm,protocol,ANAEROBIC,120,7,11.400291187613663,eligible
tagged_events,pk_ssm,sex,female,68,3,9.82764718710201,descriptive_only
tagged_events,pk_ssm,sex,male,634,27,9.455196474322573,eligible
tagged_events,tcn,protocol,AEROBIC,582,28,9.279017233443856,eligible
tagged_events,tcn,protocol,ANAEROBIC,120,7,11.784185806047146,eligible
tagged_events,tcn,sex,female,68,3,9.565967781804586,descriptive_only
tagged_events,tcn,sex,male,634,27,9.589041879194882,eligible
tagged_events,gru,protocol,AEROBIC,582,28,9.496751319501728,eligible
tagged_events,gru,protocol,ANAEROBIC,120,7,11.620021973811442,eligible
tagged_events,gru,sex,female,68,3,10.128185379081708,descriptive_only
tagged_events,gru,sex,male,634,27,9.657489843116329,eligible
tagged_events,lstm,protocol,AEROBIC,582,28,9.573211910082017,eligible
tagged_events,lstm,protocol,ANAEROBIC,120,7,11.6521876300045,eligible
tagged_events,lstm,sex,female,68,3,9.841462113949628,descriptive_only
tagged_events,lstm,sex,male,634,27,9.748117073594127,eligible
tagged_events,transformer,protocol,AEROBIC,582,28,9.452184000391926,eligible
tagged_events,transformer,protocol,ANAEROBIC,120,7,12.162412301988269,eligible
tagged_events,transformer,sex,female,68,3,9.746771810671426,descriptive_only
tagged_events,transformer,sex,male,634,27,9.749425255749175,eligible
tagged_events,first_order_kinetics,protocol,AEROBIC,582,28,9.815282445012572,eligible
tagged_events,first_order_kinetics,protocol,ANAEROBIC,120,7,12.566058884765766,eligible
tagged_events,first_order_kinetics,sex,female,68,3,9.637219963899614,descriptive_only
tagged_events,first_order_kinetics,sex,male,634,27,10.047456844977487,eligible
tagged_events,residual_ssm,protocol,AEROBIC,582,28,9.522282463458724,eligible
tagged_events,residual_ssm,protocol,ANAEROBIC,120,7,12.312830413119986,eligible
tagged_events,residual_ssm,sex,female,68,3,10.018808052377782,descriptive_only
tagged_events,residual_ssm,sex,male,634,27,9.769026423967897,eligible
tagged_events,persistence,protocol,AEROBIC,582,28,10.207409007105412,eligible
tagged_events,persistence,protocol,ANAEROBIC,120,7,12.972818045759647,eligible
tagged_events,persistence,sex,female,68,3,10.792211556538973,descriptive_only
tagged_events,persistence,sex,male,634,27,10.433410429554922,eligible
tagged_events,damped_trend,protocol,AEROBIC,582,28,14.539395587757259,eligible
tagged_events,damped_trend,protocol,ANAEROBIC,120,7,13.245250273046622,eligible
tagged_events,damped_trend,sex,female,68,3,17.39638282159895,descriptive_only
tagged_events,damped_trend,sex,male,634,27,13.950873889415917,eligible
evaluation_stride,pk_ssm,protocol,AEROBIC,449,28,6.334365726371793,eligible
evaluation_stride,pk_ssm,protocol,ANAEROBIC,90,7,5.995418210325475,eligible
evaluation_stride,pk_ssm,sex,female,54,3,5.962441871784352,descriptive_only
evaluation_stride,pk_ssm,sex,male,485,27,6.374872595342344,eligible
evaluation_stride,tcn,protocol,AEROBIC,449,28,6.451549979533939,eligible
evaluation_stride,tcn,protocol,ANAEROBIC,90,7,5.934662754160674,eligible
evaluation_stride,tcn,sex,female,54,3,6.429987410557122,descriptive_only
evaluation_stride,tcn,sex,male,485,27,6.40146602703092,eligible
evaluation_stride,gru,protocol,AEROBIC,449,28,6.610629403050976,eligible
evaluation_stride,gru,protocol,ANAEROBIC,90,7,6.090834044733548,eligible
evaluation_stride,gru,sex,female,54,3,6.742533899236609,descriptive_only
evaluation_stride,gru,sex,male,485,27,6.589979819127573,eligible
evaluation_stride,lstm,protocol,AEROBIC,449,28,6.799454850341798,eligible
evaluation_stride,lstm,protocol,ANAEROBIC,90,7,6.038478252301713,eligible
evaluation_stride,lstm,sex,female,54,3,6.465277422210317,descriptive_only
evaluation_stride,lstm,sex,male,485,27,6.631512300904272,eligible
evaluation_stride,transformer,protocol,AEROBIC,449,28,6.413431910677829,eligible
evaluation_stride,transformer,protocol,ANAEROBIC,90,7,5.842489965710861,eligible
evaluation_stride,transformer,sex,female,54,3,6.5046645588345,descriptive_only
evaluation_stride,transformer,sex,male,485,27,6.384131109161352,eligible
evaluation_stride,first_order_kinetics,protocol,AEROBIC,449,28,6.510610313146866,eligible
evaluation_stride,first_order_kinetics,protocol,ANAEROBIC,90,7,5.8721909906154295,eligible
evaluation_stride,first_order_kinetics,sex,female,54,3,6.049101565796652,descriptive_only
evaluation_stride,first_order_kinetics,sex,male,485,27,6.501831299429044,eligible
evaluation_stride,residual_ssm,protocol,AEROBIC,449,28,6.412230980966137,eligible
evaluation_stride,residual_ssm,protocol,ANAEROBIC,90,7,5.719542385065078,eligible
evaluation_stride,residual_ssm,sex,female,54,3,6.325329237808416,descriptive_only
evaluation_stride,residual_ssm,sex,male,485,27,6.3682259220607875,eligible
evaluation_stride,persistence,protocol,AEROBIC,449,28,6.591235090501287,eligible
evaluation_stride,persistence,protocol,ANAEROBIC,90,7,5.816540792161539,eligible
evaluation_stride,persistence,sex,female,54,3,6.370404636712721,descriptive_only
evaluation_stride,persistence,sex,male,485,27,6.566622891432012,eligible
evaluation_stride,damped_trend,protocol,AEROBIC,449,28,9.877450192279252,eligible
evaluation_stride,damped_trend,protocol,ANAEROBIC,90,7,7.674704009217101,eligible
evaluation_stride,damped_trend,sex,female,54,3,10.518807083294716,descriptive_only
evaluation_stride,damped_trend,sex,male,485,27,9.324673865136244,eligible
