policy,model,sport,seen_in_training,origins,participants,participant_macro_mae_bpm,inferential_status
tagged_events,pk_ssm,GC_BIKE,True,534,26,9.107697956232062,eligible
tagged_events,pk_ssm,GC_INFERRED_BIKE_OTHER,True,40,2,9.12759024234781,descriptive_only
tagged_events,pk_ssm,GC_INFERRED_BIKE_SWIM,True,8,1,22.776646494865417,descriptive_only
tagged_events,pk_ssm,GC_RUN,True,120,7,11.400291187613663,eligible
tagged_events,tcn,GC_BIKE,True,534,26,9.050632863911956,eligible
tagged_events,tcn,GC_INFERRED_BIKE_OTHER,True,40,2,9.5206241246571,descriptive_only
tagged_events,tcn,GC_INFERRED_BIKE_SWIM,True,8,1,22.15547869205475,descriptive_only
tagged_events,tcn,GC_RUN,True,120,7,11.784185806047146,eligible
tagged_events,gru,GC_BIKE,True,534,26,9.25589686152571,eligible
tagged_events,gru,GC_INFERRED_BIKE_OTHER,True,40,2,9.483978487357072,descriptive_only
tagged_events,gru,GC_INFERRED_BIKE_SWIM,True,8,1,23.538662314414978,descriptive_only
tagged_events,gru,GC_RUN,True,120,7,11.620021973811438,eligible
tagged_events,lstm,GC_BIKE,True,534,26,9.291095236898776,eligible
tagged_events,lstm,GC_INFERRED_BIKE_OTHER,True,40,2,10.511323508949435,descriptive_only
tagged_events,lstm,GC_INFERRED_BIKE_SWIM,True,8,1,23.06268480618795,descriptive_only
tagged_events,lstm,GC_RUN,True,120,7,11.6521876300045,eligible
tagged_events,transformer,GC_BIKE,True,534,26,9.222818187597577,eligible
tagged_events,transformer,GC_INFERRED_BIKE_OTHER,True,40,2,9.790684000690373,descriptive_only
tagged_events,transformer,GC_INFERRED_BIKE_SWIM,True,8,1,23.146205178896587,descriptive_only
tagged_events,transformer,GC_RUN,True,120,7,12.162412301988269,eligible
tagged_events,first_order_kinetics,GC_BIKE,True,534,26,9.443227458851599,eligible
tagged_events,first_order_kinetics,GC_INFERRED_BIKE_OTHER,True,40,2,10.291261923158167,descriptive_only
tagged_events,first_order_kinetics,GC_INFERRED_BIKE_SWIM,True,8,1,26.639553276697793,descriptive_only
tagged_events,first_order_kinetics,GC_RUN,True,120,7,12.566058884765768,eligible
tagged_events,residual_ssm,GC_BIKE,True,534,26,9.20097777090996,eligible
tagged_events,residual_ssm,GC_INFERRED_BIKE_OTHER,True,40,2,9.793696426083569,descriptive_only
tagged_events,residual_ssm,GC_INFERRED_BIKE_SWIM,True,8,1,25.477235253651937,descriptive_only
tagged_events,residual_ssm,GC_RUN,True,120,7,12.312830413119986,eligible
tagged_events,persistence,GC_BIKE,True,534,26,9.917016551115656,eligible
tagged_events,persistence,GC_INFERRED_BIKE_OTHER,True,40,2,10.713501059852074,descriptive_only
tagged_events,persistence,GC_INFERRED_BIKE_SWIM,True,8,1,25.292708333333334,descriptive_only
tagged_events,persistence,GC_RUN,True,120,7,12.972818045759647,eligible
tagged_events,damped_trend,GC_BIKE,True,534,26,14.34529674176948,eligible
tagged_events,damped_trend,GC_INFERRED_BIKE_OTHER,True,40,2,13.941163260721508,descriptive_only
tagged_events,damped_trend,GC_INFERRED_BIKE_SWIM,True,8,1,25.572217774391174,descriptive_only
tagged_events,damped_trend,GC_RUN,True,120,7,13.245250273046622,eligible
evaluation_stride,pk_ssm,GC_BIKE,True,413,26,6.43915966716211,eligible
evaluation_stride,pk_ssm,GC_INFERRED_BIKE_OTHER,True,30,2,4.073859228825874,descriptive_only
evaluation_stride,pk_ssm,GC_INFERRED_BIKE_SWIM,True,6,1,10.754582775963677,descriptive_only
evaluation_stride,pk_ssm,GC_RUN,True,90,7,5.995418210325475,eligible
evaluation_stride,tcn,GC_BIKE,True,413,26,6.498783012166893,eligible
evaluation_stride,tcn,GC_INFERRED_BIKE_OTHER,True,30,2,4.483642973815149,descriptive_only
