policy,model,seed,participants,trajectory_mae_bpm,trajectory_rmse_bpm,signed_error_bpm,total_variation_ratio,rapid_change_amplitude_ratio,high_hr_mae_bpm,fixed_160_high_hr_mae_bpm,mae_30s_bpm,mae_60s_bpm,mae_120s_bpm
tagged_events,pk_ssm,20260730,31,10.334727897439572,14.95805600541178,-0.4772092946669265,0.4773337426387488,0.14160284092588937,21.365939977479147,19.734624705718748,5.929230346635929,11.14474849594103,17.35839185605045
tagged_events,pk_ssm,20260731,31,10.116162739927065,14.696966490295049,-0.875522982246371,0.38314199522534587,0.11161648529105071,20.50004291722075,20.9110989424782,6.074598313367779,11.063571082685746,16.245422082595827
tagged_events,pk_ssm,20260732,31,10.185518916879966,15.042945996529786,-0.3779784598129885,0.3591726772756595,0.08619117341363094,17.97660593008477,18.23065068048064,5.879975973942821,11.038346001789728,16.775809995991185
tagged_events,pk_ssm,20260733,31,10.26454436862279,15.135442656629513,-0.5129021982711736,0.3863533207898688,0.08768355658357374,20.462268560724166,19.266724293905067,5.961124851344722,11.204909989012585,16.764042427310386
tagged_events,pk_ssm,20260734,31,10.640674625333164,15.507708263625897,-0.9835271655416382,0.4718974173988194,0.11243484490052617,21.762593333271408,24.3552690771034,6.31502478982545,11.683415697291704,17.252996885650905
tagged_events,tcn,20260730,31,10.157266494182531,15.049525705773517,-0.9200125839089405,6.759285046363306,0.23622200203549928,20.245273597419637,19.683051694884384,5.708617886509372,10.969124673485776,17.085662879748828
tagged_events,tcn,20260731,31,10.190502822364762,15.243650269972775,-0.4959530926527023,6.562833605000722,0.22519543524438332,20.813263455868704,19.988320412752277,5.669140017137611,10.969701160075806,17.0816600129106
tagged_events,tcn,20260732,31,10.358191276210107,15.271664975326381,-0.4058253135769741,6.896767596448863,0.2364059912150818,20.294763690736183,18.836143557012846,6.07318075014972,11.417782327842875,16.895163190489058
tagged_events,tcn,20260733,31,9.985410549807218,14.924843166802408,0.12739821515106026,6.283003359169778,0.2283621227284355,19.36454949622192,18.43631454789011,5.447703450112759,10.8389993199037,16.76800756078921
tagged_events,tcn,20260734,31,9.956448243045562,14.812123579631816,-0.1265448538154253,6.358965003780628,0.2268505738504632,19.20083493678546,19.15842282919111,5.4755204898261916,10.569970778681403,16.873487789741866
evaluation_stride,pk_ssm,20260730,31,9.298107970465859,13.855504571867238,-0.13490691042617328,0.556208059670732,0.12710841273298093,19.75286104493265,19.72841200832782,5.748840495964032,10.059981066127941,14.973919290322884
evaluation_stride,pk_ssm,20260731,31,8.979025808861003,13.606976488195663,-0.7769439541555736,0.5324187981203065,0.10100609561060835,20.05317870585275,22.32581178066945,5.777597478143426,9.780758949579646,14.039126285673571
evaluation_stride,pk_ssm,20260732,31,8.880598440281444,13.652778127893047,-0.3242993003278227,0.41265810671711783,0.07745395445297494,17.567254996438237,19.10016837037514,5.587340353920878,9.633640549209906,14.08866100923991
evaluation_stride,pk_ssm,20260733,31,8.988459549944855,13.690424715767524,-0.3386135998031425,0.47978513381600113,0.08382785688972794,19.013910710226757,20.20581867971454,5.685182646657291,9.809899067492886,14.26914597146877
evaluation_stride,pk_ssm,20260734,31,9.358632090749122,13.947692228212532,-0.6768341576003235,0.5871198223731638,0.09723682433485087,20.216921616581075,23.21072018713371,5.99295082779774,10.167661595970804,14.735510447627568
evaluation_stride,tcn,20260730,31,8.782452301562254,13.47544835499665,-0.7223706962975629,8.02708860514022,0.216892493925805,19.173734334238347,19.36376197984631,5.352620040020792,9.568805246221029,14.096127661699361
evaluation_stride,tcn,20260731,31,8.735461759576726,13.538197681231427,-0.20136246141921268,7.753493902392479,0.20631202859988457,18.72268786748284,19.28292599905744,5.388760012802836,9.414477835976744,14.02769559741251
evaluation_stride,tcn,20260732,31,8.687864195854374,13.35815592128588,-0.005519247767847523,8.46893754491981,0.22397942264150195,17.889502746668715,17.17794389024987,5.34354097051652,9.560899720938233,13.60313586452086
evaluation_stride,tcn,20260733,31,8.660286197326686,13.479452260229015,0.20955384562541887,7.551753935319772,0.20366120208388272,17.829695058638453,17.81677097315069,5.317678609101298,9.471638281802198,13.840092675175532
evaluation_stride,tcn,20260734,31,8.711052837262196,13.324224288534795,0.12912701066969506,7.796860986354774,0.20996634311094442,18.04967142313085,19.008914533238634,5.258486944021935,9.597876896828222,13.888315217972993
