policy,fold,model,field,label,origins,participants,participant_macro_mae_bpm,inferential_status
tagged_events,0,pk_ssm,sex,female,46,3,11.397712612133176,descriptive_only
tagged_events,0,pk_ssm,sex,male,60,4,9.605784985068299,descriptive_only
tagged_events,0,pk_ssm,protocol,AEROBIC,62,7,8.059175776181135,eligible
tagged_events,0,pk_ssm,protocol,ANAEROBIC,44,7,14.380509213674046,eligible
tagged_events,0,pk_ssm,event_type,aerobic_stage_boundary,62,7,8.059175776181135,eligible
tagged_events,0,pk_ssm,event_type,recovery_end,24,7,12.542474668063816,eligible
tagged_events,0,pk_ssm,event_type,recovery_onset,21,7,16.638836735240996,eligible
tagged_events,0,pk_ssm,event_type,sprint_offset,19,7,17.142464083187168,eligible
tagged_events,0,pk_ssm,event_type,sprint_onset,18,7,11.708914110395643,eligible
tagged_events,1,pk_ssm,sex,female,52,3,10.325659706409665,descriptive_only
tagged_events,1,pk_ssm,sex,male,45,3,8.039835446327452,descriptive_only
tagged_events,1,pk_ssm,protocol,AEROBIC,52,6,7.913364358833859,eligible
tagged_events,1,pk_ssm,protocol,ANAEROBIC,45,6,12.683158107460015,eligible
tagged_events,1,pk_ssm,event_type,aerobic_stage_boundary,52,6,7.913364358833859,eligible
tagged_events,1,pk_ssm,event_type,recovery_end,24,6,10.940578089820015,eligible
tagged_events,1,pk_ssm,event_type,recovery_onset,22,6,14.889570925147444,eligible
tagged_events,1,pk_ssm,event_type,sprint_offset,18,6,15.098165490892198,eligible
tagged_events,1,pk_ssm,event_type,sprint_onset,18,6,12.359811896218192,eligible
tagged_events,2,pk_ssm,sex,female,50,3,10.529028791969205,descriptive_only
tagged_events,2,pk_ssm,sex,male,46,3,8.971940909306207,descriptive_only
tagged_events,2,pk_ssm,protocol,AEROBIC,55,6,7.579293634674765,eligible
tagged_events,2,pk_ssm,protocol,ANAEROBIC,41,6,12.800119835924221,eligible
tagged_events,2,pk_ssm,event_type,aerobic_stage_boundary,55,6,7.579293634674765,eligible
tagged_events,2,pk_ssm,event_type,recovery_end,23,6,13.032700843916999,eligible
tagged_events,2,pk_ssm,event_type,recovery_onset,19,6,12.269691949950323,eligible
tagged_events,2,pk_ssm,event_type,sprint_offset,18,6,12.24427246199714,eligible
tagged_events,2,pk_ssm,event_type,sprint_onset,18,6,13.11031091901991,eligible
tagged_events,3,pk_ssm,sex,female,35,2,9.73909453688104,descriptive_only
tagged_events,3,pk_ssm,sex,male,41,4,10.55019626627991,descriptive_only
tagged_events,3,pk_ssm,protocol,AEROBIC,39,5,5.819699493320405,eligible
tagged_events,3,pk_ssm,protocol,ANAEROBIC,37,6,15.325740056638361,eligible
tagged_events,3,pk_ssm,event_type,aerobic_stage_boundary,39,5,5.819699493320405,eligible
tagged_events,3,pk_ssm,event_type,recovery_end,20,6,12.770843838797676,eligible
tagged_events,3,pk_ssm,event_type,recovery_onset,17,6,19.335040733973184,eligible
tagged_events,3,pk_ssm,event_type,sprint_offset,15,6,19.582252122296225,eligible
tagged_events,3,pk_ssm,event_type,sprint_onset,15,6,13.60212502691481,eligible
tagged_events,4,pk_ssm,sex,female,34,2,12.159041715396775,descriptive_only
tagged_events,4,pk_ssm,sex,male,57,4,9.40174602727663,descriptive_only
tagged_events,4,pk_ssm,protocol,AEROBIC,53,6,6.93236767702598,eligible
tagged_events,4,pk_ssm,protocol,ANAEROBIC,38,6,15.231456357649813,eligible
tagged_events,4,pk_ssm,event_type,aerobic_stage_boundary,53,6,6.93236767702598,eligible
tagged_events,4,pk_ssm,event_type,recovery_end,20,6,17.337676867626328,eligible
tagged_events,4,pk_ssm,event_type,recovery_onset,16,6,12.35468575583564,eligible
tagged_events,4,pk_ssm,event_type,sprint_offset,16,6,13.585355162090723,eligible
tagged_events,4,pk_ssm,event_type,sprint_onset,16,6,18.10293100727929,eligible
tagged_events,0,tcn,sex,female,46,3,11.024192110735273,descriptive_only
tagged_events,0,tcn,sex,male,60,4,9.548711041992618,descriptive_only
tagged_events,0,tcn,protocol,AEROBIC,62,7,8.06127741709003,eligible
tagged_events,0,tcn,protocol,ANAEROBIC,44,7,13.896248418594778,eligible
tagged_events,0,tcn,event_type,aerobic_stage_boundary,62,7,8.06127741709003,eligible
tagged_events,0,tcn,event_type,recovery_end,24,7,12.799137969092715,eligible
tagged_events,0,tcn,event_type,recovery_onset,21,7,15.131509614444914,eligible
tagged_events,0,tcn,event_type,sprint_offset,19,7,15.677543584051588,eligible
tagged_events,0,tcn,event_type,sprint_onset,18,7,12.219301764473084,eligible
tagged_events,1,tcn,sex,female,52,3,10.117558106173343,descriptive_only
tagged_events,1,tcn,sex,male,45,3,7.659297270729429,descriptive_only
tagged_events,1,tcn,protocol,AEROBIC,52,6,8.091556419675543,eligible
tagged_events,1,tcn,protocol,ANAEROBIC,45,6,11.622173913820825,eligible
tagged_events,1,tcn,event_type,aerobic_stage_boundary,52,6,8.091556419675543,eligible
tagged_events,1,tcn,event_type,recovery_end,24,6,10.59360363094895,eligible
tagged_events,1,tcn,event_type,recovery_onset,22,6,12.877182472723499,eligible
tagged_events,1,tcn,event_type,sprint_offset,18,6,13.208583766089545,eligible
tagged_events,1,tcn,event_type,sprint_onset,18,6,12.072151248984866,eligible
tagged_events,2,tcn,sex,female,50,3,11.054228622530715,descriptive_only
tagged_events,2,tcn,sex,male,46,3,8.764094694278858,descriptive_only
tagged_events,2,tcn,protocol,AEROBIC,55,6,7.549808778067859,eligible
tagged_events,2,tcn,protocol,ANAEROBIC,41,6,12.757301855852575,eligible
tagged_events,2,tcn,event_type,aerobic_stage_boundary,55,6,7.549808778067859,eligible
tagged_events,2,tcn,event_type,recovery_end,23,6,12.932263309090226,eligible
tagged_events,2,tcn,event_type,recovery_onset,19,6,12.199994899325901,eligible
tagged_events,2,tcn,event_type,sprint_offset,18,6,12.32817516591814,eligible
tagged_events,2,tcn,event_type,sprint_onset,18,6,13.11682020346324,eligible
tagged_events,3,tcn,sex,female,35,2,9.904753068090784,descriptive_only
tagged_events,3,tcn,sex,male,41,4,11.108490404521392,descriptive_only
tagged_events,3,tcn,protocol,AEROBIC,39,5,5.971916465574599,eligible
tagged_events,3,tcn,protocol,ANAEROBIC,37,6,16.279466552557768,eligible
tagged_events,3,tcn,event_type,aerobic_stage_boundary,39,5,5.971916465574599,eligible
tagged_events,3,tcn,event_type,recovery_end,20,6,13.440061982967235,eligible
tagged_events,3,tcn,event_type,recovery_onset,17,6,20.763458647410072,eligible
tagged_events,3,tcn,event_type,sprint_offset,15,6,21.206518974039287,eligible
tagged_events,3,tcn,event_type,sprint_onset,15,6,14.565490345160166,eligible
tagged_events,4,tcn,sex,female,34,2,12.735731844482599,descriptive_only
tagged_events,4,tcn,sex,male,57,4,8.662869752299219,descriptive_only
tagged_events,4,tcn,protocol,AEROBIC,53,6,6.812661933439291,eligible
tagged_events,4,tcn,protocol,ANAEROBIC,38,6,14.88925315241166,eligible
tagged_events,4,tcn,event_type,aerobic_stage_boundary,53,6,6.812661933439291,eligible
tagged_events,4,tcn,event_type,recovery_end,20,6,17.093047640200016,eligible
tagged_events,4,tcn,event_type,recovery_onset,16,6,11.954879560576543,eligible
tagged_events,4,tcn,event_type,sprint_offset,16,6,12.968085775375366,eligible
tagged_events,4,tcn,event_type,sprint_onset,16,6,18.163779339790345,eligible
evaluation_stride,0,pk_ssm,sex,female,84,3,8.211457354944955,descriptive_only
evaluation_stride,0,pk_ssm,sex,male,80,4,9.48385169204076,descriptive_only
evaluation_stride,0,pk_ssm,protocol,AEROBIC,105,7,7.057632099400415,eligible
evaluation_stride,0,pk_ssm,protocol,ANAEROBIC,59,7,13.105029623391951,eligible
evaluation_stride,0,pk_ssm,event_type,none,164,7,8.938539833285414,eligible
evaluation_stride,1,pk_ssm,sex,female,100,3,9.437182366670914,descriptive_only
evaluation_stride,1,pk_ssm,sex,male,63,3,7.197971004304432,descriptive_only
evaluation_stride,1,pk_ssm,protocol,AEROBIC,87,6,6.528321325238225,eligible
evaluation_stride,1,pk_ssm,protocol,ANAEROBIC,76,6,11.25290933204407,eligible
evaluation_stride,1,pk_ssm,event_type,none,162,6,8.320888375429243,eligible
evaluation_stride,1,pk_ssm,event_type,recovery_end,1,1,5.627930501302083,descriptive_only
evaluation_stride,1,pk_ssm,event_type,recovery_onset,1,1,5.627930501302083,descriptive_only
evaluation_stride,2,pk_ssm,sex,female,93,3,12.287940115979922,descriptive_only
evaluation_stride,2,pk_ssm,sex,male,63,3,7.169115931596704,descriptive_only
evaluation_stride,2,pk_ssm,protocol,AEROBIC,98,6,8.603223709267024,eligible
evaluation_stride,2,pk_ssm,protocol,ANAEROBIC,58,6,11.799949520088377,eligible
evaluation_stride,2,pk_ssm,event_type,none,156,6,9.728528023788312,eligible
evaluation_stride,3,pk_ssm,sex,female,80,2,9.255778653303782,descriptive_only
evaluation_stride,3,pk_ssm,sex,male,57,4,8.238645988471628,descriptive_only
evaluation_stride,3,pk_ssm,protocol,AEROBIC,71,5,6.655413518454059,eligible
evaluation_stride,3,pk_ssm,protocol,ANAEROBIC,66,6,9.946159095991225,eligible
evaluation_stride,3,pk_ssm,event_type,aerobic_stage_boundary,1,1,8.217252146402995,descriptive_only
evaluation_stride,3,pk_ssm,event_type,none,136,6,8.564337458421116,eligible
evaluation_stride,4,pk_ssm,sex,female,78,2,9.978158511638641,descriptive_only
evaluation_stride,4,pk_ssm,sex,male,76,4,7.548387181078482,descriptive_only
evaluation_stride,4,pk_ssm,protocol,AEROBIC,94,6,7.294011558547246,eligible
evaluation_stride,4,pk_ssm,protocol,ANAEROBIC,60,6,10.416003057716063,eligible
evaluation_stride,4,pk_ssm,event_type,none,154,6,8.358310957931868,eligible
evaluation_stride,0,tcn,sex,female,84,3,7.593347529188001,descriptive_only
evaluation_stride,0,tcn,sex,male,80,4,9.28270163869858,descriptive_only
evaluation_stride,0,tcn,protocol,AEROBIC,105,7,6.8908521633658095,eligible
evaluation_stride,0,tcn,protocol,ANAEROBIC,59,7,12.373835440637759,eligible
evaluation_stride,0,tcn,event_type,none,164,7,8.558692734622618,eligible
evaluation_stride,1,tcn,sex,female,100,3,8.96811476774701,descriptive_only
evaluation_stride,1,tcn,sex,male,63,3,7.05549677359364,descriptive_only
evaluation_stride,1,tcn,protocol,AEROBIC,87,6,6.2162162627165145,eligible
