outer_fold,role,participants,female,male,aerobic_sessions,anaerobic_sessions,aerobic_eligible_origins,anaerobic_eligible_origins,cross_protocol_eligible
0,train,15,6,9,14,15,214,156,13
0,validation,4,2,2,4,4,63,54,4
0,calibration,5,2,3,6,6,73,50,5
0,test,7,3,4,7,7,105,59,7
1,train,16,6,10,16,17,229,156,14
1,validation,4,2,2,4,4,61,48,4
1,calibration,5,2,3,5,5,78,39,5
1,test,6,3,3,6,6,87,76,6
2,train,16,6,10,15,16,227,165,14
2,validation,4,2,2,4,5,62,39,4
2,calibration,5,2,3,6,5,68,57,5
2,test,6,3,3,6,6,98,58,6
3,train,16,7,9,16,17,247,161,16
3,validation,4,2,2,4,4,60,45,4
3,calibration,5,2,3,5,5,77,47,5
3,test,6,2,4,6,6,71,66,4
4,train,16,7,9,15,16,227,156,14
4,validation,4,2,2,5,4,62,43,4
4,calibration,5,2,3,5,5,72,60,5
4,test,6,2,4,6,7,94,60,6
